Product Name,Image Link,Price,Description,Reviews,MRP,Total Reviews and Rating
AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/d/t/vayu-book-thin-and-light-laptop-axl-original-imagrk76vjbjskag.jpeg?q=70,"₹16,972",Intel Celeron Dual Core Processor (9th Gen)4 GB DDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 inch) Display1 Year,3.8,"₹33,990",43 Ratings & 4 Reviews
Acer One (2024) Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin a...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/a/2/z8-415-thin-and-light-laptop-acer-original-imahfqgfpekf8z2a.jpeg?q=70,"₹24,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4.2,"₹43,999","7,603 Ratings & 620 Reviews"
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/h/1/inspiron-3520-thin-and-light-laptop-dell-original-imahyggypmfkkpnf.jpeg?q=70,"₹34,980",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Hardware Service,4.2,"₹52,987","2,003 Ratings & 155 Reviews"
HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/e/b/15s-fq5327tu-thin-and-light-laptop-hp-original-imah3bdpmgzhggfk.jpeg?q=70,"₹41,490",Intel Core i3 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2,"₹52,721","5,685 Ratings & 489 Reviews"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/s/c/15s-fq5330tu-thin-and-light-laptop-hp-original-imah3bdpjhc8h2hq.jpeg?q=70,"₹52,990",Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,4.2,"₹62,526","2,254 Ratings & 125 Reviews"
HP 15s (2024) AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Li...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/c/n/15s-eq2143au-thin-and-light-laptop-hp-original-imah3bdpdtcufjfz.jpeg?q=70,"₹29,990","AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty",4.2,"₹47,147","4,248 Ratings & 383 Reviews"
HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/u/f/15s-eq2223au-thin-and-light-laptop-hp-original-imahf7yv6rbue5bf.jpeg?q=70,"₹41,990","AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty",4.3,"₹59,109","3,377 Ratings & 261 Reviews"
HP Victus 15 (2024) Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/e/o/15-fa1327tx-gaming-laptop-hp-original-imah3smzyvgsh8gt.jpeg?q=70,"₹73,990",Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,4.5,"₹92,110",195 Ratings & 14 Reviews
Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,https://rukminim2.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70,"₹73,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited WarraÂ­nty",4.7,"₹89,900","16,399 Ratings & 1,308 Reviews"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/g/s/-original-imahfepfz6kjxnju.jpeg?q=70,"₹28,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Domestic Warranty,4.1,"₹43,000",490 Ratings & 40 Reviews
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/8/a/-original-imagvyw9hgt3mdqa.jpeg?q=70,"₹34,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,4.3,"₹64,990","1,956 Ratings & 238 Reviews"
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/s/j/-original-imah399hu47z9dmc.jpeg?q=70,"₹61,990",Intel Core i5 Processor (13th Gen)16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,4.5,"₹82,789",543 Ratings & 48 Reviews
Acer Aspire 7 (2024) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/c/u/a715-76g-gaming-laptop-acer-original-imah3d3htza8t7bz.jpeg?q=70,"₹49,990",Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1,"₹78,999","2,345 Ratings & 196 Reviews"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/o/s/-original-imaghzah9mjvukjz.jpeg?q=70,"₹34,990","Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 CoresRAM & Storage: 8GB DDR4 & 512GB SSDGraphics & Keyboard: Integrated & Standard KeyboardDisplay: 15.6"" FHD WVA AG 120Hz 250 nits Narrow BorderIntel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD96.52 cm (38 cm) Display1 Year Onsite Hardware Service",4.2,"₹62,841","1,785 Ratings & 197 Reviews"
Acer Aspire Lite (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/p/m/-original-imah2pf2u98xefzx.jpeg?q=70,"₹29,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 year,4.1,"₹52,990",223 Ratings & 13 Reviews
Lenovo IdeaPad Slim 1 (2024) AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 T...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/0/n/15alc6-thin-and-light-laptop-lenovo-original-imah3cs7zfvhcggn.jpeg?q=70,"₹38,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD100.63 cm (39.62 cm) DisplayMicrosoft Office Home & Student 20211Yr Warranty and 1 Yr Accidental Damage Protection,4.2,"₹58,390","4,343 Ratings & 414 Reviews"
Acer Swift Go 14 OLED 2024 EVO Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) SFG1...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/6/g/-original-imah2ky32kewhazd.jpeg?q=70,"₹64,990",Intel Core i7 Processor (13th Gen)16 GB LPDDR5 RAM64 bit Windows 11 Home Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Warranty,4.3,"₹1,06,999",159 Ratings & 13 Reviews
ASUS Vivobook 15 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/x/z/x1502za-ej953ws-thin-and-light-laptop-asus-original-imah3d3grhbzxh6e.jpeg?q=70,"₹33,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3,"₹56,990","4,036 Ratings & 331 Reviews"
Lenovo AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/u/s/thinkbook-15-g5-thin-and-light-laptop-lenovo-original-imah2wy2p3cxdbyj.jpeg?q=70,"₹28,660",AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2,"₹58,500",27 Ratings & 1 Reviews
